Shogi_fuhyo(svg).svg    0FU.svg P -
Shogi_ginsho(svg).svg   0GI.svg S -
Shogi_gyokusho(svg).svg 0GY.svg
Shogi_hisha(svg).svg    0HI.svg R -
Shogi_kakugyo(svg).svg  0KA.svg B -
Shogi_keima(svg).svg    0KE.svg N -
Shogi_kinsho(svg).svg   0KI.svg G -
Shogi_kyosha(svg).svg   0KY.svg L -
Shogi_narigin(svg).svg  0NG.svg
Shogi_narikei(svg).svg  0NK.svg
Shogi_narikyo(svg).svg  0NY.svg
Shogi_osho(svg).svg     0OU.svg K -
Shogi_ryuma(svg).svg    0UM.svg
Shogi_ryuo(svg).svg     0RY.svg
Shogi_tokin(svg).svg    0TO.svg
